latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
18.50626,-69.34075,300.7,0.48,0.64,2025-05-02,0529,N,nominal,2.0NRT,287.27,0.7,N
47.96169,-66.44069,327.58,0.55,0.68,2025-05-02,0523,N,nominal,2.0NRT,270.01,2.69,N
47.95529,-66.44039,295.32,0.55,0.68,2025-05-02,0523,N,nominal,2.0NRT,268.86,0.94,N
47.96113,-66.4447,299.86,0.55,0.68,2025-05-02,0523,N,nominal,2.0NRT,269.39,2.06,N
47.96107,-66.43711,318.77,0.55,0.68,2025-05-02,0523,N,nominal,2.0NRT,269.09,2.06,N
46.19228,-64.37877,305.84,0.43,0.62,2025-05-02,0523,N,nominal,2.0NRT,271.83,0.63,N
48.18903,-64.91801,295.97,0.46,0.47,2025-05-02,0701,N,nominal,2.0NRT,273.65,0.71,N
43.27356,-79.79775,331.5,0.43,0.38,2025-05-02,0703,N,nominal,2.0NRT,280.86,2.74,N
43.27692,-79.82456,295.27,0.44,0.38,2025-05-02,0703,N,nominal,2.0NRT,280.17,0.34,N
43.27422,-79.80311,314.99,0.44,0.38,2025-05-02,0703,N,nominal,2.0NRT,281.44,2.74,N
43.27072,-79.80392,322.73,0.44,0.38,2025-05-02,0703,N,nominal,2.0NRT,282.42,1.87,N
43.29348,-79.98663,302.01,0.44,0.38,2025-05-02,0703,N,nominal,2.0NRT,282.59,1.17,N
43.27139,-79.80928,298.41,0.44,0.38,2025-05-02,0703,N,nominal,2.0NRT,280.44,1.95,N
43.26721,-79.80476,314.71,0.44,0.38,2025-05-02,0703,N,nominal,2.0NRT,281.01,1.87,N
43.06775,-80.85752,295.8,0.47,0.4,2025-05-02,0703,N,nominal,2.0NRT,282.36,0.74,N
42.96658,-81.87274,295.31,0.51,0.41,2025-05-02,0703,N,nominal,2.0NRT,282.04,0.67,N
42.8177,-81.32303,295.9,0.48,0.4,2025-05-02,0703,N,nominal,2.0NRT,281.61,0.36,N
42.76469,-82.74891,295.36,0.55,0.43,2025-05-02,0703,N,nominal,2.0NRT,282.36,0.74,N
42.30442,-83.15645,310.23,0.57,0.43,2025-05-02,0703,N,nominal,2.0NRT,285.12,2.21,N
42.30042,-83.15718,329.18,0.57,0.43,2025-05-02,0703,N,nominal,2.0NRT,285.92,5.23,N
42.29783,-83.1719,298.3,0.57,0.43,2025-05-02,0703,N,nominal,2.0NRT,282.75,0.61,N
42.29643,-83.15794,314.56,0.57,0.43,2025-05-02,0703,N,nominal,2.0NRT,283.56,5.23,N
42.29313,-83.16564,321.11,0.57,0.43,2025-05-02,0703,N,nominal,2.0NRT,283.59,4.15,N
42.28355,-83.11073,298.78,0.57,0.43,2025-05-02,0703,N,nominal,2.0NRT,283.04,0.53,N
41.46379,-81.67661,300.07,0.48,0.4,2025-05-02,0703,N,nominal,2.0NRT,285.79,1.37,N
41.46311,-81.67075,298.97,0.48,0.4,2025-05-02,0703,N,nominal,2.0NRT,284.7,0.45,N
41.4527,-81.67887,318.36,0.48,0.4,2025-05-02,0703,N,nominal,2.0NRT,286.34,2.03,N
41.46796,-83.36903,307.27,0.57,0.43,2025-05-02,0703,N,nominal,2.0NRT,285.14,1.71,N
41.45926,-83.36355,301.6,0.57,0.43,2025-05-02,0703,N,nominal,2.0NRT,284.35,1.49,N
40.16233,-74.77199,297.39,0.41,0.37,2025-05-02,0703,N,nominal,2.0NRT,286.17,0.35,N
40.13621,-74.80537,302.33,0.41,0.37,2025-05-02,0703,N,nominal,2.0NRT,285.24,0.29,N
40.07244,-74.76923,297.33,0.42,0.37,2025-05-02,0703,N,nominal,2.0NRT,282.37,0.4,N
40.07,-74.76757,305.75,0.42,0.37,2025-05-02,0703,N,nominal,2.0NRT,282.01,0.66,N
38.83329,-84.76012,298.78,0.41,0.45,2025-05-02,0705,N,nominal,2.0NRT,285.94,0.56,N
41.48365,-90.82649,308.38,0.46,0.63,2025-05-02,0705,N,nominal,2.0NRT,282.5,1.41,N
38.59692,-82.83425,296.42,0.5,0.41,2025-05-02,0705,N,nominal,2.0NRT,277.76,0.82,N
41.47791,-90.83254,297.72,0.46,0.63,2025-05-02,0705,N,nominal,2.0NRT,280.76,0.67,N
38.76283,-85.00163,297.29,0.43,0.46,2025-05-02,0705,N,nominal,2.0NRT,285.71,0.87,N
41.48619,-90.82714,298.28,0.46,0.63,2025-05-02,0705,N,nominal,2.0NRT,281.34,0.72,N
38.76234,-84.99663,309.05,0.42,0.46,2025-05-02,0705,N,nominal,2.0NRT,286.56,0.87,N
41.48048,-90.83308,304.99,0.46,0.63,2025-05-02,0705,N,nominal,2.0NRT,280.98,1.22,N
41.48026,-90.82745,295.91,0.46,0.63,2025-05-02,0705,N,nominal,2.0NRT,281.03,0.91,N
38.75762,-84.992,302.26,0.42,0.46,2025-05-02,0705,N,nominal,2.0NRT,286.92,0.68,N
41.12103,-85.35249,301.72,0.47,0.48,2025-05-02,0705,N,nominal,2.0NRT,280.44,1.57,N
37.53941,-76.71144,309.21,0.4,0.37,2025-05-02,0705,N,nominal,2.0NRT,286.24,0.49,N
40.40619,-79.79778,299.21,0.41,0.37,2025-05-02,0705,N,nominal,2.0NRT,282.62,0.41,N
40.45347,-80.28371,299.68,0.42,0.38,2025-05-02,0705,N,nominal,2.0NRT,284.28,0.85,N
38.8003,-87.24838,298.18,0.56,0.51,2025-05-02,0705,N,nominal,2.0NRT,285.85,0.42,N
40.39639,-79.85535,306.14,0.41,0.37,2025-05-02,0705,N,nominal,2.0NRT,285.51,0.82,N
38.60461,-90.10484,308.12,0.4,0.6,2025-05-02,0705,N,nominal,2.0NRT,276.01,1.1,N
40.39573,-79.85049,306.45,0.41,0.37,2025-05-02,0705,N,nominal,2.0NRT,284.86,0.82,N
38.0052,-86.14297,309.31,0.48,0.48,2025-05-02,0705,N,nominal,2.0NRT,284.47,0.75,N
40.39297,-79.85618,347.08,0.41,0.37,2025-05-02,0705,N,nominal,2.0NRT,288.19,3.71,N
38.00073,-86.14339,297.23,0.48,0.48,2025-05-02,0705,N,nominal,2.0NRT,285.58,0.75,N
40.39363,-79.86106,302,0.41,0.37,2025-05-02,0705,N,nominal,2.0NRT,285.15,1.08,N
37.27673,-79.99654,301.07,0.4,0.37,2025-05-02,0705,N,nominal,2.0NRT,287.06,0.7,N
40.39231,-79.85131,313.39,0.41,0.37,2025-05-02,0705,N,nominal,2.0NRT,285.26,3.71,N
37.27402,-80.00177,299.03,0.4,0.37,2025-05-02,0705,N,nominal,2.0NRT,287.18,0.7,N
